crime,number,location,BEAT,neighborhood,npu,lat,long,type,road,neighbourhood_lookup,county,postcode,ZONE,crimeid_x,dateid,neighborhoodid,npuid,neighbourhood_lookupid,locationid,BEATid,ZONEid,day,month,quarter,year,count_crime_type
LARCENY-FROM VEHICLE,102870307,222 14TH ST NE,502,Midtown,E,33.78728,-84.38055,building,14th Street Northeast,Midtown,Fulton County,30309,5,2,18,25,11,24,924,43,4,14,10,4,2010,1
LARCENY-FROM VEHICLE,102870323,1925 MONROE DR NE,212,Piedmont Heights,F,33.80804,-84.37412,house_number,Monroe Drive Northeast,Mayfair,Fulton County,30324,2,2,18,71,16,61,925,60,6,14,10,4,2010,1
ROBBERY-PEDESTRIAN,102870390,2424 SUNRIDGE DR,310,Browns Mill Park,Z,33.688,-84.3833,house_number,Sunridge Avenue Southeast,Browns Mill,Fulton County,30315,3,4,18,40,20,39,926,44,2,14,10,4,2010,1
LARCENY-FROM VEHICLE,102870394,660 RALPH MCGILL BLVD NE,603,Old Fourth Ward,M,33.76607,-84.36777,house_number,Angier Avenue Northeast,Hotel District,Fulton County,30308,6,2,18,3,3,5,927,61,3,14,10,4,2010,1
LARCENY-NON VEHICLE,102870405,248 TRINITY AVE SW,512,Downtown,M,33.75048,-84.39599,house_number,Trinity Avenue Southwest,South Downtown,Fulton County,30303,5,3,18,5,3,41,607,40,4,14,10,4,2010,1
AUTO THEFT,102870409,69 TURMAN AVE SE,305,South Atlanta,Y,33.70875,-84.38393,house_number,Turman Avenue Southeast,Lakewood Heights,Fulton County,30315,3,1,18,48,12,32,928,16,2,14,10,4,2010,1
LARCENY-FROM VEHICLE,102870435,485 LINDBERGH DR NE,211,Lindbergh/Morosgo,B,33.82029,-84.37104,building,Lindbergh Place Northeast,Lindbergh,Fulton County,30324,2,2,18,8,7,8,929,8,6,14,10,4,2010,1
LARCENY-FROM VEHICLE,102870452,711 ELBERT ST SW,301,Adair Park,V,33.72859,-84.41094,house_number,Elbert Street Southwest,Pittsburgh,Fulton County,30310,3,2,18,53,8,31,930,2,2,14,10,4,2010,1
LARCENY-FROM VEHICLE,102870454,55 MAPLE ST NW,102,Vine City,L,33.75569,-84.40528,leisure,Maple Street Northwest,Vine City,Fulton County,30314,1,2,18,35,17,46,931,37,5,14,10,4,2010,1
LARCENY-FROM VEHICLE,102870478,385 LINDBERGH DR NE,211,Peachtree Hills,B,33.82132,-84.3755,house_number,Lindbergh Drive,Lindbergh,Fulton County,30305,2,2,18,107,7,8,932,8,6,14,10,4,2010,1
LARCENY-FROM VEHICLE,102870564,978 NORTH AVE NE,602,Poncey-Highland,N,33.77133,-84.35542,amenity,North Avenue Northeast,Linwood,Fulton County,30307,6,2,18,64,5,30,933,6,3,14,10,4,2010,1
AGG ASSAULT,102870592,2265 PERRY BLVD NW,110,Scotts Crossing,G,33.80595,-84.46416,house_number,Perry Boulevard Northwest,West Highland,Fulton County,30318,1,5,18,108,22,25,934,28,5,14,10,4,2010,1
ROBBERY-PEDESTRIAN,102870618,3843 JONESBORO RD SE ,313,South River Gardens,Z,33.65199,-84.36701,road,Jonesboro Road Southeast,Doral Park,Fulton County,30354,3,4,18,63,20,55,143,55,2,14,10,4,2010,1
LARCENY-FROM VEHICLE,102870627,211 COLONIAL HOMES DR NW,205,Colonial Homes,C,33.81408,-84.39427,house_number,Colonial Homes Drive Northwest,Brookwood Hills,Fulton County,30309,2,2,18,105,19,29,935,41,6,14,10,4,2010,1
LARCENY-FROM VEHICLE,102870645,937 PARSONS ST SW,104,Ashview Heights,T,33.75126,-84.41822,house_number,Parsons Street Southwest,Atlanta University Center,Fulton County,30314,1,2,18,44,1,15,936,47,5,14,10,4,2010,1
LARCENY-FROM VEHICLE,102870657,478 LINDBERGH DR,211,Lindbergh/Morosgo,B,33.82015,-84.37106,amenity,Lindbergh Place Northeast,Lindbergh,Fulton County,30324,2,2,18,8,7,8,937,8,6,14,10,4,2010,1
LARCENY-FROM VEHICLE,102870661,1127 HANK AARON DR SW,304,Peoplestown,V,33.72368,-84.38848,amenity,Hank Aaron Drive Southwest,Peoplestown,Fulton County,30315,3,2,18,34,8,11,938,36,2,14,10,4,2010,1
BURGLARY-NONRES,102870675,3665 MARTIN L KING JR DR NW,111,Adamsville,H,33.76248,-84.50791,house_number,Martin Luther King Junior Drive Southwest,Normandy Forest,Fulton County,30331,1,8,18,67,18,42,939,20,5,14,10,4,2010,1
AUTO THEFT,102870700,795 POLLARD BLVD SW,304,Summerhill,V,33.73328,-84.391,tourism,Pollard Boulevard Southwest,Summerhill,Fulton County,30315,3,1,18,56,8,78,940,36,2,14,10,4,2010,1
BURGLARY-NONRES,102870803,655 HIGHLAND AVE NE,604,Old Fourth Ward,M,33.76124,-84.36584,house_number,Highland Avenue Northeast,Inman Park,Fulton County,30312,6,8,18,3,3,3,941,3,3,14,10,4,2010,1
AUTO THEFT,102870822,860 PEACHTREE ST NE,505,Midtown,E,33.77831,-84.38533,building,Peachtree Street Northeast,Midtown,Fulton County,30308,5,1,18,25,11,24,942,26,4,14,10,4,2010,1
LARCENY-FROM VEHICLE,102870860,411 10TH ST NE,503,Midtown,E,33.78142,-84.3737,house_number,10th Street Northeast,Midtown,Fulton County,30309,5,2,18,25,11,24,943,27,4,14,10,4,2010,1
BURGLARY-RESIDENCE,102870919,1036 BECKWITH ST SW,104,Ashview Heights,T,33.75235,-84.42181,house_number,Beckwith Street Southwest,Atlanta University Center,Fulton County,30314,1,7,18,44,1,15,944,47,5,14,10,4,2010,1
LARCENY-NON VEHICLE,102871009,45 13TH ST NE,503,Midtown,E,33.78553,-84.38604,house_number,13th Street Northeast,Midtown,Fulton County,30309,5,3,18,25,11,24,945,27,4,14,10,4,2010,1
LARCENY-FROM VEHICLE,102871046,TIGER FLOWERS DR NW / ANDERSON AVE NW,108,Dixie Hills,J,33.76011,-84.45049,house_number,Anderson Avenue Northwest,Battle Hill Haven,Fulton County,30314,1,2,18,21,6,51,946,22,5,14,10,4,2010,1
AUTO THEFT,102871155,1020 GLENWOOD AVE SE,606,Ormewood Park,W,33.74015,-84.35413,house_number,Glenwood Avenue Southeast,Glenwood Park,Fulton County,30316,6,1,18,60,9,75,947,51,3,14,10,4,2010,1
BURGLARY-RESIDENCE,102871184,1742 LISBON DR SW,306,Sylvan Hills,X,33.70719,-84.41183,house_number,Lisbon Drive Southwest,Sylvan Hills,Fulton County,30310,3,7,18,39,2,38,948,42,2,14,10,4,2010,1
BURGLARY-RESIDENCE,102871188,305 HOLDERNESS ST SW,104,West End,T,33.74675,-84.42725,house_number,Holderness Street Southwest,West End,Fulton County,30310,1,7,18,1,1,1,894,47,5,14,10,4,2010,1
LARCENY-FROM VEHICLE,102871198,MYRTLE ST NE / 10TH ST NE,503,Midtown,E,33.78179,-84.37941,house_number,Myrtle Street Northeast,Midtown,Fulton County,30309,5,2,18,25,11,24,949,27,4,14,10,4,2010,1
LARCENY-NON VEHICLE,102871207,2483 MEMORIAL DRIVE S.E.,611,East Lake,O,33.74703,-84.30573,house_number,Memorial Drive Southeast,East Lake Highlands,DeKalb County,30317,6,3,18,17,10,36,950,18,3,14,10,4,2010,1
LARCENY-NON VEHICLE,102871237,203 HARWELL PL NW,112,Collier Heights,I,33.78074,-84.49348,house_number,Harwell Place Northwest,Collier Heights,Fulton County,30318,1,3,18,57,13,59,951,52,5,14,10,4,2010,1
LARCENY-NON VEHICLE,102871260,3393 PEACHTREE RD.,312,Glenrose Heights,Z,33.65279,-84.39585,road,Crown Road Southeast,Plunket Town,Fulton County,30304,3,3,18,51,20,81,952,49,2,14,10,4,2010,1
LARCENY-NON VEHICLE,102871334,40 COURTLAND ST NE,510,Downtown,M,33.7558,-84.38437,amenity,Piedmont Avenue Northeast,Hotel District,Fulton County,30303,5,3,18,5,3,5,953,30,4,14,10,4,2010,1
BURGLARY-RESIDENCE,102871336,583 WHITAKER ST NW,106,Bankhead,K,33.77074,-84.41851,house_number,Whitaker Street Northwest,English Ave.,Fulton County,30318,1,7,18,23,14,22,954,23,5,14,10,4,2010,1
BURGLARY-RESIDENCE,102871365,2265 PERRY BLVD NW,110,Scotts Crossing,G,33.80595,-84.46416,house_number,Perry Boulevard Northwest,West Highland,Fulton County,30318,1,7,18,108,22,25,934,28,5,14,10,4,2010,1
LARCENY-FROM VEHICLE,102871377,100 LUCKIE ST NW,508,Downtown,M,33.7573,-84.38992,house_number,Luckie Street Northwest,Five Points,Fulton County,30303,5,2,18,5,3,9,102,9,4,14,10,4,2010,1
LARCENY-NON VEHICLE,102871381,54 PEACHTREE ST SW,511,Downtown,M,33.75286,-84.3912,tourism,Peachtree Street Southwest,South Downtown,Fulton County,30303,5,3,18,5,3,41,287,25,4,14,10,4,2010,1
LARCENY-FROM VEHICLE,102871447,2591 PIEDMONT RD NE,211,Lindbergh/Morosgo,B,33.82494,-84.36684,house_number,Piedmont Road Northeast,Lindbergh,Fulton County,30324,2,2,18,8,7,8,955,8,6,14,10,4,2010,1
LARCENY-FROM VEHICLE,102871468,1161 METROPOLITAN PKWY SW,301,Adair Park,V,33.72314,-84.40797,house_number,Metropolitan Parkway Southwest,Capitol View,Fulton County,30310,3,2,18,53,8,2,956,2,2,14,10,4,2010,1
BURGLARY-RESIDENCE,102871474,857 JOSEPH E BOONE BLVD NW,103,English Avenue,L,33.76364,-84.41551,house_number,Oliver Street Northwest,English Ave.,Fulton County,30314,1,7,18,37,17,22,957,39,5,14,10,4,2010,1
BURGLARY-RESIDENCE,102871483,617 S ELIZABETH PL NW,107,Grove Park,J,33.7718,-84.44806,house_number,South Elizabeth Place Northwest,Grove Park,Fulton County,30318,1,7,18,26,6,43,958,63,5,14,10,4,2010,1
LARCENY-NON VEHICLE,102871501,1801 HOWELL MILL RD NW,204,Berkeley Park,D,33.80388,-84.41278,shop,Howell Mill Road Northwest,Woodward,Fulton County,30363,2,3,18,27,15,27,41,29,6,14,10,4,2010,1
LARCENY-FROM VEHICLE,102871527,LARKIN ST SW / LAWSHE ST SW,101,The Villages at Castleberry H,T,33.74805,-84.41108,amenity,Larkin Street Southwest,Atlanta University Center,Fulton County,30314,1,2,18,14,1,15,959,15,5,14,10,4,2010,1
LARCENY-FROM VEHICLE,102871558,702 PARSONS ST  SW,101,Atlanta University Center,T,33.75126,-84.41046,amenity,Larkin Street Southwest,Atlanta University Center,Fulton County,30314,1,2,18,22,1,15,960,15,5,14,10,4,2010,1
LARCENY-FROM VEHICLE,102871559,227 COURTLAND ST NE,509,Downtown,M,33.76067,-84.38354,building,Courtland Street Northeast,Hotel District,Fulton County,30303,5,2,18,5,3,5,961,5,4,14,10,4,2010,1
LARCENY-NON VEHICLE,102871587,1061 PONCE DE LEON AVE NE,602,Poncey-Highland,N,33.77374,-84.35284,house_number,Ponce de Leon Avenue Northeast,Linwood,Fulton County,30306,6,3,18,64,5,30,962,6,3,14,10,4,2010,1
LARCENY-FROM VEHICLE,102871618,2820 SHADY VALLEY DR,210,Pine Hills,B,33.83147,-84.3488,house_number,Shady Valley Drive Northeast,The Hill,Fulton County,30324,2,2,18,20,7,20,963,21,6,14,10,4,2010,1
LARCENY-NON VEHICLE,102871642,1005 CHATTAHOOCHEE AVE NW,204,Underwood Hills,D,33.80083,-84.42084,building,Chattahoochee Avenue Northwest,Woodward,Fulton County,30318,2,3,18,85,15,27,964,29,6,14,10,4,2010,1
LARCENY-FROM VEHICLE,102871716,95 PRYOR ST SW,511,Downtown,M,33.75215,-84.39051,historic,Kimball Way Southeast,Five Points,Fulton County,30303,5,2,18,5,3,9,458,25,4,14,10,4,2010,1
LARCENY-NON VEHICLE,102871769,1801 HOWELL MILL RD NW,204,Berkeley Park,D,33.80388,-84.41278,shop,Howell Mill Road Northwest,Woodward,Fulton County,30363,2,3,18,27,15,27,41,29,6,14,10,4,2010,1
AUTO THEFT,102871862,260 KIRKWOOD RD NE,610,Kirkwood,O,33.75977,-84.32184,house_number,Kirkwood Road Northeast,Kirkwood,DeKalb County,30317,6,1,18,61,10,54,965,54,3,14,10,4,2010,1
LARCENY-NON VEHICLE,102871866,1801 HOWELL MILL RD NW,204,Berkeley Park,D,33.80388,-84.41278,shop,Howell Mill Road Northwest,Woodward,Fulton County,30363,2,3,18,27,15,27,41,29,6,14,10,4,2010,1
BURGLARY-RESIDENCE,102871886,2367 CASCADE RD SW,406,Cascade Heights,I,33.72166,-84.4657,house_number,Cascade Road,Cascade Heights,Fulton County,30311,4,7,18,103,13,63,966,66,1,14,10,4,2010,1
ROBBERY-PEDESTRIAN,102871929,1285 SYLVAN RD SW,301,Capitol View,X,33.72025,-84.41856,house_number,Sylvan Road,Sylvan Hills,Fulton County,30310,3,4,18,89,2,38,967,2,2,14,10,4,2010,1
LARCENY-NON VEHICLE,102871963,1994 HOSEA L WILLIAMS DR NE,610,Kirkwood,O,33.75139,-84.32251,amenity,Hosea L Williams Drive Southeast,Kirkwood,DeKalb County,30317,6,3,18,61,10,54,968,54,3,14,10,4,2010,1
AUTO THEFT,102871976,725 JAMES P BRAWLEY,103,English Avenue,L,33.77473,-84.41186,road,Westside BeltLine Connector,Bellwood,Fulton County,30332,1,1,18,37,17,33,969,39,5,14,10,4,2010,1
AUTO THEFT,102872015,1720 MLK JR DR,104,Mozley Park,K,33.75095,-84.44404,road,West Lake Avenue Southwest,Battle Hill Haven,Fulton County,30314,1,1,18,52,14,51,970,47,5,14,10,4,2010,1
AGG ASSAULT,102872070,1277 OAK ST SW,401,West End,T,33.741,-84.42955,house_number,Oak Street Southwest,West End,Fulton County,30310,4,5,18,1,1,1,912,1,1,14,10,4,2010,1
LARCENY-FROM VEHICLE,102872077,2545 FORREST HILLS DR SW,311,Hammond Park,X,33.68028,-84.3999,house_number,Forrest Hills Drive Southwest,Hammond Park,Fulton County,30315,3,2,18,68,2,50,971,58,2,14,10,4,2010,1
AUTO THEFT,102872091,807 CASCADE AVE SW,404,Cascade Avenue/Road,S,33.73323,-84.43795,house_number,Cascade Road,Westview,Fulton County,30310,4,1,18,91,21,18,745,19,1,14,10,4,2010,1
BURGLARY-RESIDENCE,102872138,2901 MACON DR SW,312,Glenrose Heights,Z,33.67561,-84.38909,house_number,Macon Drive Southeast,Rosedale Heights,Fulton County,30354,3,7,18,51,20,60,972,49,2,14,10,4,2010,1
BURGLARY-RESIDENCE,102872141,43 LESLIE ST NE,609,Edgewood,O,33.75465,-84.34313,house_number,Leslie Street Northeast,Edgewood,DeKalb County,30307,6,7,18,11,10,12,973,12,3,14,10,4,2010,1
LARCENY-FROM VEHICLE,102872204,PIEDMONT AVE NE / 12TH ST NE,503,Midtown,E,33.78426,-84.37891,amenity,Piedmont Avenue Northeast,Midtown,Fulton County,30305,5,2,18,25,11,24,974,27,4,14,10,4,2010,1
LARCENY-FROM VEHICLE,102872243,646 DILL AVE SW,301,Capitol View,X,33.71808,-84.40874,house_number,Athens Avenue Southwest,Capitol View,Fulton County,30310,3,2,18,89,2,2,975,2,2,14,10,4,2010,1
BURGLARY-RESIDENCE,102872304,1783 JOHNSON RD NW,110,Rockdale,G,33.78541,-84.44539,house_number,Johnson Road,Rockdale,Fulton County,30318,1,7,18,95,22,28,542,28,5,14,10,4,2010,1
BURGLARY-NONRES,102872309,2521 PIEDMONT RD NE,211,Lindbergh/Morosgo,B,33.82412,-84.36713,house_number,Piedmont Road Northeast,Lindbergh,Fulton County,30324,2,8,18,8,7,8,976,8,6,14,10,4,2010,1
LARCENY-FROM VEHICLE,102872395,765 MCDANIEL ST SW,302,Pittsburgh,V,33.73396,-84.40177,house_number,McDaniel Street Southwest,Pittsburgh,Fulton County,30310,3,2,18,31,8,31,47,33,2,14,10,4,2010,1
LARCENY-NON VEHICLE,102872402,311 NELSON ST SW,507,Castleberry Hill,M,33.75203,-84.39808,building,Nelson Street Southwest,Castleberry Hill,Fulton County,30313,5,3,18,13,3,14,977,14,4,14,10,4,2010,1
LARCENY-NON VEHICLE,102872406,299 MORELAND AVE NE,602,Candler Park,N,33.76551,-84.34912,house_number,Moreland Avenue Northeast,Little Five Points,Fulton County,30307,6,3,18,82,5,6,978,6,3,14,10,4,2010,1
ROBBERY-PEDESTRIAN,102872533,475 MORELAND AVE SE,606,Ormewood Park,W,33.74112,-84.34961,house_number,Moreland Avenue Southeast,East Atlanta Village,Fulton County,30316,6,4,18,60,9,23,979,51,3,14,10,4,2010,1
LARCENY-NON VEHICLE,102872570,1801 HOWELL MILL RD NW,204,Berkeley Park,D,33.80388,-84.41278,shop,Howell Mill Road Northwest,Woodward,Fulton County,30363,2,3,18,27,15,27,41,29,6,14,10,4,2010,1
LARCENY-FROM VEHICLE,102872633,RANDOLPH ST NE / HIGHLAND AVE NE,603,Old Fourth Ward,M,33.76132,-84.36784,road,Randolph Street Northeast,Inman Park,Fulton County,30308,6,2,18,3,3,3,980,61,3,14,10,4,2010,1
LARCENY-FROM VEHICLE,102861270,1058 HOWELL MILL RD,501,Home Park,E,33.78285,-84.41126,house_number,11th Street Northwest,Howell Station,Fulton County,30318,5,2,18,46,11,58,616,48,4,14,10,4,2010,1
LARCENY-FROM VEHICLE,102861366,674 BROWNWOOD AVE SE,612,East Atlanta,W,33.73591,-84.34783,house_number,Brownwood Avenue Southeast,East Atlanta Village,DeKalb County,30316,6,2,19,24,9,23,981,24,3,13,10,4,2010,1
AUTO THEFT,102861475,2521 DONALD LEE HOLLOWELL PKWY NW,109,Center Hill,J,33.7759,-84.46841,house_number,Donald Lee Hollowell Parkway Northwest,Center Hill,Fulton County,30318,1,1,19,7,6,7,336,7,5,13,10,4,2010,1
LARCENY-FROM VEHICLE,102861497,1820 MARY DELL DR SE,612,East Atlanta,W,33.72385,-84.32906,amenity,Mary Dell Drive Southeast,Eastland Heights,DeKalb County,30316,6,2,19,24,9,71,311,24,3,13,10,4,2010,1
LARCENY-NON VEHICLE,102861505,121 CLEVELAND AVE SW,310,Browns Mill Park,Z,33.68119,-84.39236,house_number,Cleveland Avenue Southwest,Hammond Park,Fulton County,30344,3,3,19,40,20,50,982,44,2,13,10,4,2010,1
LARCENY-NON VEHICLE,102861619,1830 CHESHIRE BRIDGE RD NE,212,Morningside/Lenox Park,F,33.80924,-84.36251,amenity,Cheshire Bridge Road,Mayfair,Fulton County,30324,2,3,19,87,16,61,983,60,6,13,10,4,2010,1
AUTO THEFT,102861635,541 10TH ST NW,501,Home Park,E,33.78166,-84.40506,amenity,10th Street Northwest,Howell Station,Fulton County,30318,5,1,19,46,11,58,984,48,4,13,10,4,2010,1
AUTO THEFT,102861638,2125 JOSEPH E BOONE BLVD NW,108,Center Hill,J,33.76479,-84.4579,house_number,Joseph E. Boone Boulevard Northwest,Dixie Hills,Fulton County,30314,1,1,19,7,6,21,230,22,5,13,10,4,2010,1
LARCENY-NON VEHICLE,102861658,11 KIRKWOOD RD NE,610,Kirkwood,O,33.75161,-84.32156,house_number,Kirkwood Road Northeast,Kirkwood,DeKalb County,30317,6,3,19,61,10,54,985,54,3,13,10,4,2010,1
ROBBERY-PEDESTRIAN,102861695,2001 SYLVAN RD SW;,306,Sylvan Hills,X,33.70063,-84.41993,house_number,Astor Avenue Southwest,Forrest Park,Fulton County,30310,3,4,19,39,2,45,986,42,2,13,10,4,2010,1
LARCENY-FROM VEHICLE,102861832,800 HALL ST NW,109,Center Hill,J,33.77693,-84.46616,house_number,Hall Street Northwest,Carey Park,Fulton County,30318,1,2,19,7,6,40,987,7,5,13,10,4,2010,1
LARCENY-NON VEHICLE,102861884,999 PEACHTREE ST NE,503,Midtown,E,33.78099,-84.38298,house_number,Peachtree Place Northeast,Midtown,Fulton County,30309,5,3,19,25,11,24,988,27,4,13,10,4,2010,1
LARCENY-FROM VEHICLE,102861942,405 10TH ST NE,503,Midtown,E,33.78153,-84.37391,house_number,10th Street Northeast,Midtown,Fulton County,30309,5,2,19,25,11,24,989,27,4,13,10,4,2010,1
LARCENY-NON VEHICLE,102861964,1387 DESOTO AVE SW,301,Capitol View,X,33.71703,-84.4121,house_number,Desoto Avenue Southwest,Capitol View,Fulton County,30310,3,3,19,89,2,2,990,2,2,13,10,4,2010,1
BURGLARY-RESIDENCE,102862041,1074 1ST ST NW,109,Carey Park,G,33.78428,-84.4672,house_number,1st Street Northwest,Carey Park,Fulton County,30318,1,7,19,75,22,40,991,7,5,13,10,4,2010,1
ROBBERY-PEDESTRIAN,102862058,1635 OAK KNOLL CIR SE,307,Lakewood Heights,Y,33.70951,-84.37753,house_number,Oak Knoll Circle Southeast,Lakewood Heights,Fulton County,30315,3,4,19,33,12,32,992,34,2,13,10,4,2010,1
BURGLARY-RESIDENCE,102862060,2430 CHESHIRE BRIDGE RD NE,212,Lindridge/Martin Manor,F,33.82149,-84.35161,building,Cheshire Bridge Road,The Hill,Fulton County,30324,2,7,19,76,16,20,650,60,6,13,10,4,2010,1
AUTO THEFT,102862074,1894 CAMPBELLTON RD SW,410,Pomona Park,R,33.70859,-84.45117,house_number,Campbellton Road Southwest,Adams Park,Fulton County,30311,4,1,19,109,4,4,993,4,1,13,10,4,2010,1
LARCENY-FROM VEHICLE,102862114,855 PEACHTREE ST NE,505,Midtown,E,33.77798,-84.38389,building,Peachtree Street Northeast,Midtown,Fulton County,30308,5,2,19,25,11,24,240,26,4,13,10,4,2010,1
LARCENY-FROM VEHICLE,102862125,730 PARSONS ST SW,101,Atlanta University Center,T,33.75084,-84.41141,amenity,Larkin Street Southwest,Atlanta University Center,Fulton County,30314,1,2,19,22,1,15,994,15,5,13,10,4,2010,1
LARCENY-NON VEHICLE,102862128,1210 CAROLINE ST NE,609,Edgewood,O,33.75938,-84.34863,shop,Moreland Avenue Northeast,Little Five Points,DeKalb County,30307,6,3,19,11,10,6,995,12,3,13,10,4,2010,1
AGG ASSAULT,102862141,94 PRYOR ST SW,511,Downtown,M,33.75199,-84.39024,building,Alabama Street Southwest,Five Points,Fulton County,30303,5,5,19,5,3,9,996,25,4,13,10,4,2010,1
LARCENY-NON VEHICLE,102862142,833 SMITH ST SW,302,Pittsburgh,V,33.73224,-84.40108,house_number,Smith Street Southwest,Pittsburgh,Fulton County,30310,3,3,19,31,8,31,997,33,2,13,10,4,2010,1
LARCENY-FROM VEHICLE,102862156,194 ROACH ST SW,101,The Villages at Castleberry H,T,33.74914,-84.40966,house_number,Roach Street Southwest,Atlanta University Center,Fulton County,30314,1,2,19,14,1,15,998,15,5,13,10,4,2010,1
BURGLARY-RESIDENCE,102862164,2359 BEECHER RD SW,406,Cascade Avenue/Road,S,33.72492,-84.46438,house_number,Beecher Road Southwest,Cascade Heights,Fulton County,30311,4,7,19,91,21,63,999,66,1,13,10,4,2010,1
LARCENY-FROM VEHICLE,102862168,668 GREENSFERRY AVE SW,101,Atlanta University Center,T,33.74688,-84.41003,amenity,Peters Street Southwest,Atlanta University Center,Fulton County,30313,1,2,19,22,1,15,1000,15,5,13,10,4,2010,1
LARCENY-FROM VEHICLE,102862176,PEACHTREE ST NE / ELLIS ST NE,510,Downtown,M,33.75843,-84.38761,house_number,Ellis Street Northeast,Hotel District,Fulton County,30303,5,2,19,5,3,5,1001,30,4,13,10,4,2010,1
LARCENY-FROM VEHICLE,102862182,PONCE DE LEON AVE NE / PENN AVE NE,505,Midtown,E,33.77258,-84.37904,house_number,Penn Avenue Northeast,Midtown,Fulton County,30308,5,2,19,25,11,24,731,26,4,13,10,4,2010,1
AGG ASSAULT,102862254,208 12TH ST NE,503,Midtown,E,33.78438,-84.38058,house_number,12th Street Northeast,Midtown,Fulton County,30309,5,5,19,25,11,24,1002,27,4,13,10,4,2010,1
LARCENY-NON VEHICLE,102862287,1801 HOWELL MILL RD NW,204,Berkeley Park,D,33.80388,-84.41278,shop,Howell Mill Road Northwest,Woodward,Fulton County,30363,2,3,19,27,15,27,41,29,6,13,10,4,2010,1
LARCENY-FROM VEHICLE,102862290,1380 ATLANTIC DR NW,501,Atlantic Station,E,33.79282,-84.39779,shop,Atlantic Drive Northwest,Atlantic Station,Fulton County,30363,5,2,19,50,11,47,183,48,4,13,10,4,2010,1
AGG ASSAULT,102862319,349 MATHEWSON PL SW,404,Westview,T,33.74563,-84.43654,house_number,Mathewson Place Southwest,Westview,Fulton County,30310,4,5,19,32,1,18,1003,19,1,13,10,4,2010,1
LARCENY-FROM VEHICLE,102860026,751 WYLIE ST SE,606,Cabbagetown,N,33.75219,-84.36259,house_number,Wylie Street Southeast,Inman Park,Fulton County,30316,6,2,19,55,5,3,1004,51,3,13,10,4,2010,1
AGG ASSAULT,102860047,532 CLEVELAND AVE SE,311,Hammond Park,X,33.68116,-84.4059,house_number,Cleveland Avenue Southwest,Hammond Park,Fulton County,30315,3,5,19,68,2,50,224,58,2,13,10,4,2010,1
ROBBERY-PEDESTRIAN,102860103,900 JOSEPH E BOONE BLVD NW,102,Vine City,L,33.76337,-84.41688,house_number,Joseph E. Boone Boulevard Northwest,English Ave.,Fulton County,30314,1,4,19,35,17,22,1005,37,5,13,10,4,2010,1
BURGLARY-NONRES,102860230,1310 WHITE ST SW,402,West End,T,33.73712,-84.43044,house_number,White Street Southwest,West End,Fulton County,30310,4,8,19,1,1,1,1006,35,1,13,10,4,2010,1
LARCENY-FROM VEHICLE,102860354,190 PEACHTREE CENTER AVE NE,510,Downtown,M,33.75945,-84.38617,amenity,Andrew Young International Boulevard Northeast,Hotel District,Fulton County,30303,5,2,19,5,3,5,1007,30,4,13,10,4,2010,1
BURGLARY-NONRES,102860426,1038 WHITE ST SW,401,West End,T,33.73195,-84.42191,house_number,White Street Southwest,West End,Fulton County,30310,4,8,19,1,1,1,1008,1,1,13,10,4,2010,1
LARCENY-FROM VEHICLE,102860446,1035 N VIRGINIA AVE NE,601,Virginia Highland,F,33.78288,-84.3492,house_number,North Virginia Avenue Northeast,Virginia Highland,Fulton County,30306,6,2,19,69,16,62,1009,32,3,13,10,4,2010,1
LARCENY-FROM VEHICLE,102860543,2430 CHESHIRE BRIDGE RD NE,212,Lindridge/Martin Manor,F,33.82149,-84.35161,building,Cheshire Bridge Road,The Hill,Fulton County,30324,2,2,19,76,16,20,650,60,6,13,10,4,2010,1
AUTO THEFT,102860643,180 JACKSON ST NE;,604,Sweet Auburn,M,33.75932,-84.37442,building,Jackson Street Northeast,Sweet Auburn,Fulton County,30312,6,1,19,49,3,26,437,3,3,13,10,4,2010,1
LARCENY-FROM VEHICLE,102860677,779 STOKESWOOD AVE S.E.,612,East Atlanta,W,33.73322,-84.34497,house_number,Stokeswood Avenue Southeast,Brownwood,DeKalb County,30316,6,2,19,24,9,35,1010,24,3,13,10,4,2010,1
BURGLARY-RESIDENCE,102860793,1646 ROGERS AVE SW,404,Westview,T,33.73706,-84.44153,house_number,Rogers Avenue Southwest,Westview,Fulton County,30310,4,7,19,32,1,18,1011,19,1,13,10,4,2010,1
LARCENY-FROM VEHICLE,102860869,2115 PIEDMONT RD NE,212,Morningside/Lenox Park,F,33.81235,-84.36578,house_number,Piedmont Road Northeast,Mayfair,Fulton County,30324,2,2,19,87,16,61,1012,60,6,13,10,4,2010,1
LARCENY-NON VEHICLE,102860899,1560 METROPOLITAN PKWY SW,306,Sylvan Hills,X,33.71194,-84.40422,amenity,Metropolitan Parkway Southwest,Capitol View,Fulton County,30315,3,3,19,39,2,2,176,42,2,13,10,4,2010,1
LARCENY-FROM VEHICLE,102861032,2231 CAMPBELLTON RD SW,409,Adams Park,R,33.70537,-84.46151,house_number,Campbellton Road Southwest,Adams Park,Fulton County,30311,4,2,19,16,4,4,1013,17,1,13,10,4,2010,1
AUTO THEFT,102861057,2367 CASCADE ROAD S.W.,406,Cascade Heights,I,33.72166,-84.4657,house_number,Cascade Road,Cascade Heights,Fulton County,30311,4,1,19,103,13,63,966,66,1,13,10,4,2010,1
